genes
AKT1
AKT2
AKT3
INPP4B
MTOR
PIK3CA
PIK3CB
PIK3R1
PIK3R2
PIK3R3
PPP2R1A
PTEN
RHEB
RICTOR
RPTOR
STK11
TSC1
TSC2
